0 0 0 0 0
0.05 -0.0467376 8.47859e-05 0.000181852 8.40393e-05
0.1 -0.0932612 0.000230953 -0.000159911 0.000157675
0.15 -0.138343 0.000287423 0.000281603 0.000239574
0.2 -0.181752 0.000644626 -0.000281034 0.000298499
0.25 -0.223886 0.000407108 -0.000222004 0.00039424
0.3 -0.261649 0.00134379 -0.000703682 0.000798372
0.35 -0.291229 0.000679328 -0.000139791 0.000688893
0.4 -0.311197 0.0010269 -0.000246722 0.000862752
0.45 -0.321996 0.00101522 0.00157294 0.000978073
0.5 -0.306742 0.00201237 0.0012607 0.00116971
0.55 -0.27972 0.00127217 0.0011153 0.00131884
0.6 -0.221063 0.00168456 0.00204092 0.00166598
0.65 -0.114485 0.00225002 0.00118697 0.00238921
0.7 0.0484945 0.00257794 0.00106471 0.00258759
0.75 0.300742 0.0029273 -0.00287162 0.00300103
0.8 0.69115 0.00448264 -0.0047101 0.00399545
0.85 1.19488 0.00514704 0.00491898 0.00441199
0.9 1.59477 0.00238409 0.00424678 0.00287796
0.95 1.6483 0.000546809 -0.000472677 0.00055213
1 1.60317 0.000285005 -0.000526666 0.000280093
1.05 1.55828 0.000194932 -0.000226353 0.000192743
1.1 1.51503 0.000149788 -0.000349899 0.000146097
1.15 1.47262 0.000119239 0.000472235 0.000116329
1.2 1.43276 9.94539e-05 -5.17315e-05 9.82008e-05
1.25 1.39441 8.43502e-05 -0.000210968 8.34417e-05
1.3 1.35692 7.45628e-05 -4.16059e-05 7.17873e-05
1.35 1.32109 6.55973e-05 -3.99957e-05 6.48308e-05
1.4 1.28668 5.83643e-05 0.000228818 5.74324e-05
1.45 1.25357 5.24074e-05 -0.000253501 5.16969e-05
1.5 1.22158 4.76882e-05 -3.52717e-05 4.71297e-05
1.55 1.19104 4.31648e-05 -7.45444e-05 4.28689e-05
1.6 1.16142 3.96662e-05 -0.000367208 3.9021e-05
1.65 1.1329 3.60624e-05 -3.54803e-05 3.58678e-05
1.7 1.10572 3.32556e-05 -0.000282494 3.34904e-05
1.75 1.07947 3.10768e-05 2.40333e-05 3.08629e-05
1.8 1.05425 2.85108e-05 2.44475e-05 2.8731e-05
1.85 1.03003 2.63193e-05 -0.000177846 2.7393e-05
1.9 1.00676 2.43995e-05 4.92416e-05 2.49731e-05
1.95 0.984102 2.27922e-05 1.21511e-06 2.3658e-05
2 0.962394 2.12489e-05 -0.000211885 2.20916e-05
