# 3mu/mb  nb/mb^3              nb_error             P/mb^4                  P_error
0.996	3.8530823927586166e-7	5.590203074281594e-8 1.283710333643132e-10	1.874047006446489e-11
0.9962	7.02237901694611e-7	1.0149740050550365e-7 2.339746394988596e-10	3.4029999403820596e-11
0.9964	1.2797291911583138e-6	1.8425032369075334e-7 4.26431603971727e-10	6.178773609920502e-11
0.9966	2.331713516978247e-6	3.3437502039906935e-7 7.771262090340605e-10	1.1216947077514775e-10
0.9968	4.247102595889096e-6	6.065041443184353e-7 1.4160019640728356e-9	2.0357774463493533e-10
0.997	7.731371670817757e-6	1.0990825898749143e-6 2.5793429996412402e-9	3.693009876690489e-10
0.9972	0.000014059169121241515	1.9883894558547433e-6 4.695950703308179e-9	6.693670852517912e-10
0.9974	0.000025516968310080208	3.5864681773356745e-6 8.54121517068065e-9	1.2114113530534604e-9
0.9976	0.000046152882749227626	6.434168289479997e-6 1.550819285529483e-8	2.186465776791097e-9
0.9978	0.00008296596485938416	0.00001143318980050116 2.8070672753187032e-8	3.927367514063365e-9
0.998	0.00014755119786282988	0.000019981629465558803 5.053188791209321e-8	6.995166282577799e-9
0.9982	0.0002577036902687991	0.000033964326404147324 9.011424133729566e-8	1.228206393246696e-8
0.9984	0.0004372596004474861	0.00005526893981084067 1.5823588240003705e-7	2.1071630382328186e-8
0.9986	0.0007111763086925414	0.00008458619635384566 2.713297843003966e-7	3.4929502540490495e-8
0.9988	0.001095031265687532	0.00012036497532189494 4.500801210315537e-7	5.533993072658182e-8
0.999	0.0015859982393195602	0.00015996053490514915 7.165226440609225e-7	8.332592812481289e-8
0.9992	0.0021645028819442373	0.00020194395615598382 1.090330428934294e-6	1.194822319657659e-7
0.9994	0.0028042999274883185	0.00024525354979134544 1.5863970754261258e-6	1.6419542432231337e-7
0.9996	0.003484633843889925	0.00028819088508393693 2.2147197956817887e-6	2.1755180648147843e-7
0.9998	0.004197116624996275	0.0003316128045947285 2.9823836651157614e-6	2.7949671937618797e-7
1.	0.0049379107565905595	0.00037895064172286915 3.895466007889649e-6	3.5046195171882097e-7
1.0002	0.005700642960263763	0.00043305796355461515 4.958998907819961e-6	4.315248966471837e-7
1.0004	0.006481364814657121	0.0004975473306713081 6.176931126344525e-6	5.243786198623762e-7
1.0006	0.007272729328763449	0.0005750983416552692 7.552272495891037e-6	6.314246048176484e-7
1.0008	0.008063914181574178	0.0006660244321772088 9.08596490103939e-6	7.552940590160165e-7
1.001	0.008858441060329066	0.0007759755504219597 0.000010778058196996024	8.990903861038107e-7
1.0012	0.009657356956331294	0.0009137663520646369 0.00001262973550193431	1.0675712490133848e-6
1.0014	0.010423513198390955	0.0010758756490007971 0.000014638896251172767	1.2662656519869832e-6
1.0016	0.01108887145579552	0.0012401571170659155 0.000016792388328065082	1.4980801614081238e-6
1.0018	0.011599014880589793	0.0013793474621568809 0.000019063974310015476	1.7606178797600536e-6
1.002	0.011947600054303942	0.001480226794095628 0.00002142113527972722	2.047226374059e-6
