0.000000e+00 1.374000e+02
2.660000e+02 4.749558e+01 4.274602e+01
2.680000e+02 4.571687e+01 4.114518e+01
2.700000e+02 4.387448e+01 3.948703e+01
2.720000e+02 4.198130e+01 3.778317e+01
2.740000e+02 4.001867e+01 3.601680e+01
2.760000e+02 3.797972e+01 3.418175e+01
2.780000e+02 3.585665e+01 3.227099e+01
2.800000e+02 3.363175e+01 3.026857e+01
2.820000e+02 3.129868e+01 2.816881e+01
2.840000e+02 2.878507e+01 2.590656e+01
2.860000e+02 2.610369e+01 2.349332e+01
2.880000e+02 2.318346e+01 2.086511e+01
2.900000e+02 1.993087e+01 1.793778e+01
2.902000e+02 1.957235e+01 1.761512e+01
2.904000e+02 1.920195e+01 1.728176e+01
2.906000e+02 1.883987e+01 1.695588e+01
2.908000e+02 1.848591e+01 1.663732e+01
2.910000e+02 1.810308e+01 1.629278e+01
2.912000e+02 1.772965e+01 1.595669e+01
2.914000e+02 1.733016e+01 1.559714e+01
2.916000e+02 1.694131e+01 1.524718e+01
2.918000e+02 1.652925e+01 1.487632e+01
2.920000e+02 1.611268e+01 1.450141e+01
2.922000e+02 1.569260e+01 1.412334e+01
2.924000e+02 1.527001e+01 1.374300e+01
2.926000e+02 1.481579e+01 1.333421e+01
2.928000e+02 1.436294e+01 1.292665e+01
2.930000e+02 1.389828e+01 1.250845e+01
2.932000e+02 1.342418e+01 1.208176e+01
2.934000e+02 1.291680e+01 1.162512e+01
2.936000e+02 1.240688e+01 1.116619e+01
2.938000e+02 1.187261e+01 1.068535e+01
2.940000e+02 1.131961e+01 1.018765e+01
2.942000e+02 1.073172e+01 9.658550e+00
2.944000e+02 1.011826e+01 9.106432e+00
2.946000e+02 9.469270e+00 8.522343e+00
2.948000e+02 8.780179e+00 7.902161e+00
2.950000e+02 8.035625e+00 7.232062e+00
2.952000e+02 7.225109e+00 6.502598e+00
2.953000e+02 6.782828e+00 6.104545e+00
2.954000e+02 6.313869e+00 5.682482e+00
2.955000e+02 5.807646e+00 5.226882e+00
2.956000e+02 5.256854e+00 4.731169e+00
2.957000e+02 4.642876e+00 4.178588e+00
2.958000e+02 3.941140e+00 3.547026e+00
2.959000e+02 3.083763e+00 2.775386e+00
2.960000e+02 1.868325e+00 1.681492e+00
2.961000e+02 0.000000e+00 0.000000e+00
