0.000000e+00 0.000000e+00
5.590170e+00 -1.659564e-05
7.905694e+00 -3.317092e-05
9.682458e+00 -4.972551e-05
1.118034e+01 -6.625908e-05
1.250000e+01 -8.277133e-05
1.369306e+01 -9.926190e-05
1.479020e+01 -1.157305e-04
1.581139e+01 -1.321767e-04
1.677051e+01 -1.486002e-04
1.767767e+01 -1.650007e-04
1.854050e+01 -1.813779e-04
1.936492e+01 -1.977312e-04
2.015564e+01 -2.140605e-04
2.091650e+01 -2.303652e-04
2.165064e+01 -2.466451e-04
2.236068e+01 -2.628998e-04
2.304886e+01 -2.791289e-04
2.371708e+01 -2.953320e-04
2.436699e+01 -3.115087e-04
2.500000e+01 -3.276586e-04
2.561738e+01 -3.437813e-04
2.622022e+01 -3.598765e-04
2.680951e+01 -3.759436e-04
2.738613e+01 -3.919824e-04
2.795085e+01 -4.079924e-04
2.850439e+01 -4.239731e-04
2.904738e+01 -4.399242e-04
2.958040e+01 -4.558452e-04
3.010399e+01 -4.717357e-04
3.061862e+01 -4.875953e-04
3.112475e+01 -5.034235e-04
3.162278e+01 -5.192198e-04
3.211308e+01 -5.349839e-04
3.259601e+01 -5.507153e-04
3.307189e+01 -5.664135e-04
3.354102e+01 -5.820781e-04
3.400368e+01 -5.977086e-04
3.446012e+01 -6.133046e-04
3.491060e+01 -6.288655e-04
3.535534e+01 -6.443910e-04
3.579455e+01 -6.598806e-04
3.622844e+01 -6.753337e-04
3.665720e+01 -6.907500e-04
3.708099e+01 -7.061289e-04
3.750000e+01 -7.214699e-04
3.791438e+01 -7.367726e-04
3.832427e+01 -7.520365e-04
3.872983e+01 -7.672611e-04
3.913119e+01 -7.824460e-04
3.952847e+01 -7.975905e-04
3.992180e+01 -8.126943e-04
4.031129e+01 -8.277568e-04
4.069705e+01 -8.427775e-04
4.107919e+01 -8.577561e-04
4.145781e+01 -8.726918e-04
4.183300e+01 -8.875843e-04
4.220486e+01 -9.024331e-04
4.257347e+01 -9.172376e-04
4.293891e+01 -9.319974e-04
4.330127e+01 -9.467119e-04
4.366062e+01 -9.613807e-04
4.401704e+01 -9.760033e-04
4.437060e+01 -9.905791e-04
4.472136e+01 -1.005108e-03
4.506939e+01 -1.019588e-03
4.541476e+01 -1.034021e-03
4.575751e+01 -1.048405e-03
4.609772e+01 -1.062739e-03
4.643544e+01 -1.077024e-03
4.677072e+01 -1.091259e-03
4.710361e+01 -1.105442e-03
4.743416e+01 -1.119575e-03
4.776243e+01 -1.133656e-03
4.808846e+01 -1.147684e-03
4.841229e+01 -1.161660e-03
4.873397e+01 -1.175583e-03
4.905354e+01 -1.189452e-03
4.937104e+01 -1.203266e-03
4.968652e+01 -1.217026e-03
5.000000e+01 -1.230731e-03
5.031153e+01 -1.244381e-03
5.062114e+01 -1.257974e-03
5.092887e+01 -1.271510e-03
5.123475e+01 -1.284990e-03
5.153882e+01 -1.298411e-03
5.184110e+01 -1.311775e-03
5.214163e+01 -1.325081e-03
5.244044e+01 -1.338327e-03
5.273756e+01 -1.351514e-03
5.303301e+01 -1.364641e-03
5.332682e+01 -1.377708e-03
5.361903e+01 -1.390714e-03
5.390965e+01 -1.403659e-03
5.419871e+01 -1.416542e-03
5.448624e+01 -1.429363e-03
5.477226e+01 -1.442122e-03
5.505679e+01 -1.454817e-03
5.533986e+01 -1.467449e-03
5.562149e+01 -1.480017e-03
5.590170e+01 -1.492521e-03
5.618051e+01 -1.504961e-03
5.645795e+01 -1.517335e-03
5.673403e+01 -1.529643e-03
5.700877e+01 -1.541886e-03
5.728220e+01 -1.554063e-03
5.755432e+01 -1.566172e-03
5.782517e+01 -1.578215e-03
5.809475e+01 -1.590190e-03
5.836309e+01 -1.602097e-03
5.863020e+01 -1.613936e-03
5.889609e+01 -1.625706e-03
5.916080e+01 -1.637407e-03
5.942432e+01 -1.649039e-03
5.968668e+01 -1.660601e-03
5.994789e+01 -1.672092e-03
6.020797e+01 -1.683514e-03
6.046693e+01 -1.694864e-03
6.072479e+01 -1.706143e-03
6.098155e+01 -1.717351e-03
6.123724e+01 -1.728486e-03
6.149187e+01 -1.739550e-03
6.174545e+01 -1.750541e-03
6.199798e+01 -1.761459e-03
6.224950e+01 -1.772304e-03
6.250000e+01 -1.783075e-03
6.274950e+01 -1.793772e-03
6.299802e+01 -1.804395e-03
6.324555e+01 -1.814944e-03
6.349213e+01 -1.825418e-03
6.373774e+01 -1.835817e-03
6.398242e+01 -1.846141e-03
6.422616e+01 -1.856388e-03
6.446898e+01 -1.866560e-03
6.471090e+01 -1.876656e-03
6.495191e+01 -1.886675e-03
6.519202e+01 -1.896618e-03
6.543126e+01 -1.906483e-03
6.566963e+01 -1.916271e-03
6.590713e+01 -1.925981e-03
6.614378e+01 -1.935614e-03
6.637959e+01 -1.945169e-03
6.661456e+01 -1.954645e-03
6.684871e+01 -1.964042e-03
6.708204e+01 -1.973361e-03
6.731456e+01 -1.982601e-03
6.754628e+01 -1.991762e-03
6.777721e+01 -2.000843e-03
6.800735e+01 -2.009844e-03
6.823672e+01 -2.018765e-03
6.846532e+01 -2.027606e-03
6.869316e+01 -2.036367e-03
6.892024e+01 -2.045047e-03
6.914658e+01 -2.053646e-03
6.937218e+01 -2.062165e-03
6.959705e+01 -2.070602e-03
6.982120e+01 -2.078958e-03
7.004463e+01 -2.087232e-03
7.026735e+01 -2.095424e-03
7.048936e+01 -2.103534e-03
7.071068e+01 -2.111563e-03
7.093130e+01 -2.119508e-03
7.115125e+01 -2.127372e-03
7.137051e+01 -2.135152e-03
